class,tweet
1,"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch."
1,"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;"""
1,"""ain't it time for you hoes to get out of here"" LOL this is what Ariana's mom says to us"
1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
1,"""@YoungRicooo: &#8220;@WexicanAfro702: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan"
1,"""@WBeezy_: ""@Run_DRC: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"
1,"""@adriwadrri: No love for these fuck niggas"" hoes*"
1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
1,&#128034; dirty whore. I love you. but you a hoe. but I love you. Jesus is watching.
1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
2,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.
1,"""if i wasnt in a work place id deck you"" aye fucking right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fuck up bitch"
1,#wallofthewasatch bitch!
2,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof"
0,"""These sour apple bitter bitches, I'm not fuckin wit em"""
1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""
1,"$60 torch down the drain cause either I was to high and lost it or one of my ""niggas"" finessed that hoe fuckkkkk ittt"
1,""" bitch get up off me """
1,"""They Faggots @JonnieSantana: Orioles petty as fuck...got swept up outta this bitch"""
1,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't"
2,#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6
2,#Yankees wasted Nu&#241;ez's season #rays #mlb
2,#Yankees Nice bounce back @Michael Kay. Gotta keep this going!
1,"&#128514;&#128514; niggas sending screenshots of me to they bitches like "" stop texting cuh "" &#128557;"
1,"""@talibanshawtyy: Niggas whole hoes out here cuz"" Couldn't had said it better..&#128588;"
2,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P"""
1,#OnlyInAMichaelMyersMovie bitch is running a hundred meter dash on this niqqa WHOS ACTUALLY TAKING HIS TIME WALKING &amp; u still get killed
1,&#128514;&#128514;&#128514; bitch my lrt
1,"""Get your ass back to Detroit ya fuckin' wigger!"""
1,"""You took our land so you could make each other retarded in DIAPERS? Sure....use our image....cool...."" #redskins #NFL #concussion #jokes"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #CloseUp | amateur pussy player milf close up http://t.co/2uHL7dhHu1"
2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Anal | Blonde tranny ass fucked http://t.co/80aRX0QJxz"
2,#THEBOONDOCKS at 10:30 my nicca!
0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race"
2,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha"
1,"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh"
1,"""@WitHaPrettyface: @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!"
1,"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa"
1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26"
1,"""@jama_jam: You bitches be pretending to be TF crazy.."" You ain't never lied..."
2,"""Just follow the yellow brick twitter."""
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #SmallTits | Small tits ghetto whore fucking with not her stepdad http://t.co/Ay6gRNTOUw"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Masturbation | A very hot black tranny is mastu http://t.co/OfGGMLXQAj"
1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
1,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
1,"""@socass_: ""@00sexilexi00: @socass_ yasss""
395,2,""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"""" OMG WHERE DID YOU FIND THAT"""
1,""" black bottle &amp; a bad bitch """
1,"""you better pipe your pussy down over there""- @EsEx_Ruskii&#160;lmao wth does that even mean?"
1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; RT @KarltonHinez: @ItsNotHarold smh bitch sellin her ass
1,&#128064; RT @Mr_QuenchYaGirl: A lotta fck niggas on this here Twitter. Really be talking like bitches.
2,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"""
2,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"
1,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
1,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em"
1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
1,"""She was a bitch anyway"""
1,"""IBS"" irritable bitch syndrome."
1,"""Shake that Bear ... aka two rednecks having sex on a dead bear"""
1,"""I don't chase after dudes... I chase after bitches."" - Edgar Bautista"
1,#klokus this bitch has his nose pierced &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/1Ia8Nx6zrS
0,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day"
1,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
2,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS"
1,"""but I love him"" nah bitch that ain't love."
1,#WhatWouldYouChangeAboutYourPast the hoes I wasted time with
2,"#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt;"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Erotic | Erotic and wild tits and pussy fucking http://t.co/8HkC56j7c9"
2,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"
1,#wcw bitch &#128536;&#128514; @AutumnMaye http://t.co/7n5X9FyvIP
1,""" is that ya bitch """
1,"""Your homeboy looking bad and you giving cash to them hoes"""
1,#That son of a bitch moment when you turn the radio on and your favorite song is on but its the end of the song
0,"""poor whitey"" http://t.co/3UkKeyznz8"
1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
2,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
1,"""How you doing, crazy bitch?"" is hilarious!"
1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Anal | BBC Anal creampie bitch http://t.co/3XNeG5mnRk"
1,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bitch you just ate tacos you fat fuck"
0,#Virginia is full of white trash.
2,#foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of #teabaggers and liars.
1,""" jus meet son now he ya mane ass bitches "" #Shots"
2,"#BREAKING: AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online. http://t.co/S6hY2eVoaT"
1,#That son of a bitch moment when your walking through your house in the dark and stub your little toe on the wall
2,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it"
1,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
1,"#10ThingsThatGetsOnMyNerves Needy hoes, ratchet Hoes, sideline hoes, Beggin' hoes, dumb hoes, looking for love on Facebook hoes.."
1,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
2,#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it
1,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"
1,"""@chieflottahoes: In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."
1,"""@YEHits_Von: &#8220;@Run_DRC: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;"
1,#tweetlikelexi Nah we not gonna sit down we gonna walk it out bitch.
1,"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers."
2,#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #HiddenCams | Candid pussy shots from a hidden c http://t.co/IKpJ0etz71"
2,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;"""
2,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby"
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1,"""@A7XDemery: I'm a fucking fag they said"""
1,"""My momma told me to tell you to mind yoooo damn motha fuckin business you 2+2 not knowin what it is bitch!!!!!!"""
1,"""Uh-uh, what do we have? Your empty heart, my empty bottle, a yellow cab.. That you would like to catch cuz yo latest ex made u mad.."
1,#Shoutout to my #MackTown niccas!
1,&#128514;&#128514; My stomach in pain like a mufucka RT @OwIPharaoh This the nigga that's rating bitches 3/10? http://t.co/yFlFuBJ2Po
1,&#127942; RT @UBoyRock17: Every bitch n my passenger seat I dun fucked at least one time
1,"""Get me that shit bitch you is fine bear"""
2,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""
380,2,""@riananewman: @22EdHam brownies tonight"""" what kind?!?!"""
1,"""You don't like us colored folks, what the he'll you're not colored you white fucks"" &#128514;&#128514;&#128514;&#128514;"
1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
1,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
1,"""&amp; he's gone always be a hoe"""
0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #BigTits | Cute preggie slut big tits plays with swollen pussy http://t.co/iTCpEBCem4"
1,"""Nah girl I ain't gon be able to make it, it's been tight since Russ loss his job"" you in the back like ""damn bitch really"""
1,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
1,"""I got a sister, she told me stop calling women bitches.."""
1,#NationalCatDay ...sure. Celebrate over 1 BILLION bird deaths and blame it on #climatechange you fuckin' #commies.
1,"""@Latrobemark: You love these hoes more then money wats wrong these niggas"""
2,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
1,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent"
1,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !"
0,&#128514;&#128514; fucc nicca yu pose to be pullin up
1,#wcw all the bad bitches &#128069;&#128166;
1,"""Foreign chick, no lie.. Man that bitch Beautiful"""
1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Italian | my baby pussy http://t.co/1O7AJdBjLc"
1,"""@witmyRUDEass: These newly gay bitches don't kno how shit works"""
1,$100 bid to go on a date with Zack Morris oh that dreamy son of a bitch
1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
1,"""I would rather you call me bitch than sir"" -my manager"
1,"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !"""
1,"""That ain't bro moves, that's hoe moves"""
1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
1,"""@likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
1,#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!
2,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo"
1,"""but pussy is the root of all drama an attribute put up in they head by they mama."""
2,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
1,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""
343,2,""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg"""""""
1,"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu"
2,#mt browngal #gouache #monkey #tiki http://t.co/kFhj8lWhbs
1,"""Twitter is twitter"" bitch twitter is life"
1,"""These hoes keep callin but I ain't pickin up""&#127926;&#127926;"
2,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/cOfGRtW9br"
2,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong
1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Latina | Latina chick gets her pussy pumped http://t.co/4dhwuI5ARd"
2,"#Yankees take all three games in MoTown, I'm callin' it!!! #MLB"
1,"""@XoJennyGirl: I'm making marack my girlfriend ."" @marackaf aye b you pullin hoes just like o taught you"
1,"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" http://t.co/Cgx3HNAK9A"
1,"""@TheRealRickyB21: @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming"
1,"""@glowstruck: But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"
1,""" if you're toes ain't done you pussy stinks """
1,"""@wodaeeex3: Awww Meat Meat In His Feelins""i ainn n my feelings bitch"
2,#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook http://t.co/vii3SmGRm3
1,"""@realFORTES: Grudges are for weirdos""and bitches"
1,"""@ozzie_garza: @white_thunduh I'm so sure bitch"" frfr tf"
1,""" quick piece of pussy call it a drive by """
2,#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers
0,#Minnesota is full of white trash
1,"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"""
1,"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please"
1,"#BOB Bass over bitches @HankJohnson11 bitches on his dick, fishes on the dock"
1,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH"
2,#BlessJesus The #Crown of HIS head to the sole of HIS feet
1,"""@worldwarzee_: these hoes ain't loyal."""
1,&#127829;&#128049; RT @TAN1AAA: RT @PeachDulce: A piece of pussy http://t.co/BcWiT2nuz5
2,#Yankees 6-0. Nine straight hits. Price... Not your night.
1,"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
1,"""All these bitches want a baby, I don't want no children."""
1,&#128514; bruh these hoes gotta be stupid.
1,"""Wow you are a bitch"" 
596,1,""Y'all forget he has his brand new baby girl at home"""" bitch the cookies are burning"""
1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW."
1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
1,"#DegenerateArtist Can't do it ALL on CARD&gt; I'm not a French Muslim retard&gt; I don't expect or demand a child bride yard, cuz I got MAN DICK&gt;"
2,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx"
1,"""You're a garden rose, and that bitch is a weed."""
2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
1,"#longhair don't care got my #gayboyproblems everywhere, I'm a #bitch I'm a #champ, I'm totally full of&#8230; http://t.co/Qia88qGmWh"
1,#truefriendtuesday my bitch @drrrruuuu http://t.co/7dSZ3vCySz
2,#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers
2,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
1,"""I will fuck u where u stand"". ""U dizzy bitch"". Two unique &amp; separate phrases I overheard a relative saying when I was younger."
1,"""hoes suck my dick cus i look like john stockton hit em wit the choppa, luke i am your fatherrr"" - @LILBTHEBASEDGOD"
1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
2,#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073;Yost
1,"""She's from Florida so you've got to do the sniff test in those swamp pussies"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
1,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
1,#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z
1,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
1,"""Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"" Black"
1,"""@ambitiousBree: @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me"
1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
1,"""@X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
1,"""Shall I compare thee to a summer&#8217;s day? No, a summer&#8217;s day is not a bitch."""
1,"""@NastyCopper: Money getting taller and bitches getting blurry"""
1,""" pimps up pimps up hoes down "" Future voice"
0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends."
1,#Shoutout to my #Exit47 niccas! #Salute
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Beach | Caught a girl rubbing her pussy in nude beach http://t.co/h8lGiTFYie"
1,#ToMyFutureSon You can fuck dem hoes but you better not love dem hoes.
2,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game."
1,"""Yo can I sublet your pussy"" #ShitFahdSays"
1,"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
1,"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;""@betysweetcocker: That pussy is just....&#128561; imma assume she just had a baby like..the day before"""
1,""" i txt my old bitch my new bitch pussy wetter """
1,"""@stephencdo: @currieburry if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha"
2,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #HomeMade | Home made. My wife rubbing her pussy http://t.co/ldb9aFwVdM"
1,"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh"
0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally"
1,#ultimatepickupline bitch get naked. Works 10 times out of 10 if she's drunk :)
2,#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti http://t.co/8zE8aqY0
2,""" momma said no pussy cats inside my doghouse """
1,"#wrongfilmquotes ..everytime I come in the kitchen you in the kitchen, in the goddamn refrigerator. Eatin up all the pussy"
1,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
2,#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.
1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
1,"""@wodaeeex3: I Want Snake Bites , MY Industrial Piercin &amp; A Tattoo""Dem hoe accessories dea &#128064;&#128064;&#128056;&#9749;"
2,"#metal only, honkies!"
1,"""@thejudyann: annoying bitch that I love http://t.co/8oxlQvQBrC"" JUDYANN'S SO PRETTY!!!!!"
1,""" cant you see these hoes wont change """
1,"""@scallynikelad: &#8220;@sleazytwinks: So hot!! RT @opcinjen: Lick it, bitch http://t.co/JLoUkqDcOM&#8221;"" fuck yeah. Eat that trainer u dirty fucker"
1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
1,"""Stop being a pussy, son, and shove that needle into your own heart!"" #afterearth"
1,"""@poppunksucks: Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet."
1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
1,&#128514;&#128514; &#8220;@JusDahl &#8220;@JustKorey &#8220;@JusDahl: Y'all have boring sex.&#8221; Nope.. I lick the side of my bitch face when I'm hittin it from the back&#8221;&#8221;
1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
1,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh."
2,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
357,1,""@kikiSTFU: I'll break that lil bitch neck and won't even feel sorry about it"""" Savage"""
1,&#128514;&#128514;&#128514;&#128514;&#128514; brittany bitch u my dog man &#128514;&#128514;&#128514;&#9996;&#65039;&#9996;&#65039;&#128553;&#128553;&#128553;&#128553;&#128553;&#128553;&#128569;&#128569;&#128584;&#128584;&#128584;&#128584;
1,"""I only be with older men cause they're more mature""
485,1,""I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand."""""""
2,#TBT love you forever ling ling &#128115;&#128114;&#128152; @brittneycordova http://t.co/KEcfNjyrwE
1,"#AnnCoulter still calling #Obama a 'community organizer' re: #Syria. Well, she is still #cunt as well. So what?"
1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
1,#IHopeSomeday that these hoes just find their own relationship instead of ruining others
1,#FreeballoutPartyPart3 bitch it's going! 3 mo weeks&#128588;
1,"""Roberto you are one nasty hoe"""
2,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
2,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t"
1,&#128073; RT @Pr3ttyN33: Don't like me ??? Have a &#128186;with the rest of the bitches waiting for me to give a fuck &#128540;&#128129;
1,"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
1,&#128347; is the most important thing. All this temporary bullshit and lies is fa the birds. Kill that !
2,"#NP ""Centuries"" ~FOB"
1,"""@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""
335,1,""@hornyjhb: Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"""" fuck yeah"""
1,#FreshmanAdvice and if you ain't a hoe get up out my traphouseeeeeeee
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Korean | korean girlfriend pussy http://t.co/Od1MQUudnN"
1,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
1,"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee"""
1,"#real RT @ImTooMuch: RT @d_lac: RT @WeavusChrist: RT @Tone314: Don't tell me if my gf was a hoe before me, if I'm happy."
0,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
1,"""oh ya these hoes think they cute in skin tight cat suits assuming that they bodies to boomin to dispute"""
0,#SouthCarolina is full of white trash
1,"""@royalswagg_: using y=mx+b to find the slope of that ass"""
2,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
1,""" these hoes like niggas that spend money not talk bout it """
0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Babe | ebony babe pussy http://t.co/3MxBXeZqxR"
2,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy."
1,"""@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout"
1,#oomf can get it but I'm chilling till da bitch hit me up
1,"""New Flame"" the song of the yr lol that bitch SUPER run like"
1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
1,""" cancel that bitch like Nino """
1,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
1,#TheMostAnnoyingThingsInLife people who are NEVER happy and bitch-n-moan 100% of the time.
2,#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!
1,#SignsOfCockBlockin ----&gt;RT @tribexyunglion: Niggahs telling hoes I'm down talking them just so I can't get on &#128514; #FuckNiggahs
1,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
1,"""I woke up like thi-"" bitch go back to bed"
