,class,tweet
270,1,"""@UnHoly_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?"
271,1,"""@Vbomb20: @Woodchuck20 pussy"" love it"
272,1,"""@VeronikaHumbert: Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" 

bitchy promo"
273,1,"""@VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER"
274,2,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
275,1,"""@WBeezy_: ""@QuaTheGreat: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?"
276,1,"""@WBeezy_: ""@Run_DRC: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"
277,1,"""@WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho"
278,1,"""@WitHaPrettyface: @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!"
279,1,"""@X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
280,1,"""@XoJennyGirl: I'm making marack my girlfriend ."" @marackaf aye b you pullin hoes just like o taught you"
281,1,"""@XoXo__Angiee: Bruno fag boy"" you love me."
282,1,"""@YEHits_Von: &#8220;@Run_DRC: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;"
283,2,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
284,1,"""@YoungRicooo: &#8220;@WexicanAfro702: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan"
285,1,"""@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702"" Thanks pal"
286,1,"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
287,1,"""@YunGMiGo: @Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
288,1,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
289,1,"""@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
290,1,"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say."
291,1,"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
292,1,"""@_TommyCollins: @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this."
293,1,"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
294,1,"""@__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;"
295,1,"""@__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh"
296,1,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
297,1,"""@__youreWelcome: Im a boss ass bitch"" ...that needs to sit in a corner"
298,1,"""@_iwantfranny: He's a hoe , I can't"""
299,1,"""@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
300,1,"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"""
301,1,"""@_simplycaitlin: why do my friends hate me"" because you a ratchet hoe.."
302,1,"""@adriwadrri: No love for these fuck niggas"" hoes*"
303,1,"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers."
304,1,"""@airmaxlad1: Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah."
305,1,"""@alejandra_p13: These bitches love Sosa"""
306,1,"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh"
307,1,"""@allisonnamaya_: What should I name my cat, ideas?"" Mr pussy"
308,1,"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally."
309,1,"""@ambitiousBree: @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me"
310,1,"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
311,1,"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;"
312,0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes"
313,2,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"""
314,1,"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
315,0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
316,1,"""@bleedingtrap: god teeth , gold chain
white bitches , cocaine"""
317,1,"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh"
318,1,"""@chieflottahoes: In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."
319,1,"""@clayton_jenn99: I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"
320,1,"""@coltforty2Gone: hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!"
321,2,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha"
322,1,"""@datFullerkid: @TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol"
323,2,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof"
324,1,"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me"
325,1,"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh"
326,1,"""@fIirting: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh"
327,1,"""@fatboyswagg347: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"""
328,1,"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892"
329,2,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta"
330,1,"""@glowstruck: But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"
331,2,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby"
332,1,"""@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique 
333,1,"""@haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;"
334,1,"""@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""
335,1,"""@hornyjhb: Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah"
336,2,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"""
337,1,"""@iAMPickUpLines: You can call me Fireman cause I turn the hoes on."""
338,1,"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
339,1,"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"
340,1,"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
341,2,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P"""
342,1,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""
343,2,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg"""
344,1,"""@jSadass: loud bitches annoy me"""
345,1,"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu"
346,1,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy"
347,1,"""@jama_jam: You bitches be pretending to be TF crazy.."" You ain't never lied..."
348,1,"""@jasmyncyniquee: @white_thunduh k bye hoe"" um bye .."
349,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
350,1,"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !"""
351,2,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven"
352,0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
353,1,"""@juicyyyjayyyy: Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;"
354,1,"""@k_eazy26: Facts what baldheaded bitch made this shit. &#128074;&#128074;&#128555;&#128530; http://t.co/fDYojpT9Xg""
355,1,"""@kayreneeee_: Fuck wit us and then we tweakin hoe"" shmurda!"
356,2,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
357,1,"""@kikiSTFU: I'll break that lil bitch neck and won't even feel sorry about it"" Savage"
358,1,"""@leikant: This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http://t.co/TubivxbxcO"" love me some kinky scallies"
359,1,"""@likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
360,1,"""@lildurk_: I can turn yo bitch into a eaterrrrrrrrr"""
361,1,"""@lildurk_: I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
362,1,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard"
363,1,"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend."
364,2,"""@metroadlib: colored contacts in your eyes?
365,1,"""@michelle_westt: Facts ""@POONsoaker: Only the dudes with hoes say they don't got hoes&#8221;"" @J_Austin12"
366,1,"""@midyWIDEY_: I'm rea start smacking bitches period !"" Bluffin at its best"
367,1,"""@molssyo: Lifes a bitch, and then you die Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
368,1,"""@molssyo: One of us is on drugs, and its me but you're still wrong &#128514; @currieburry"" hahahahahahah im a bitch sometimes (:"
369,1,"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh"
370,2,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"
371,1,"""@obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hahahahah"
372,2,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography"
373,1,"""@ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)"
374,1,"""@ozzie_garza: @white_thunduh I'm about to cool faggot chill"" tf is cool nigga"
375,1,"""@ozzie_garza: @white_thunduh I'm so sure bitch"" frfr tf"
376,1,"""@poppunksucks: Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet."
377,1,"""@queendulaaa: Got a couple bitches saying they know me But I&#8217;ma let the money talk for me &#128526;&#128076;"" AND I'M LIKE... #WWYD"
378,1,"""@realFORTES: Grudges are for weirdos""and bitches"
379,2,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""
380,2,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!"
381,1,"""@roLLYuP23: No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol"
382,1,"""@ronald_iongi: Ummmmmm okay http://t.co/4BVLsci5K5"" you got hoes from left to right &#128514;&#128514; do yah thang!"
383,1,"""@royalswagg_: using y=mx+b to find the slope of that ass"""
384,2,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it"
385,1,"""@rugbysocklad: Hell yeah bro! http://t.co/9yIb45UD6c"" fuck yeah sexy scally lad in hot gear"
386,1,"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah"
387,1,"""@rugbysocklad: Lads being Lads! http://t.co/f3UJcYJ4OF"" fuck yeah. I love scally lad action. Hot trainers too."
388,1,"""@savage_twotone: Next year bitches is gonna be like you gotta promise you won't expose me &#128514;&#128514;&#128557;"""
389,1,"""@scallynikelad: &#8220;@sleazytwinks: So hot!! RT @opcinjen: Lick it, bitch http://t.co/JLoUkqDcOM&#8221;"" fuck yeah. Eat that trainer u dirty fucker"
390,1,"""@sierrabernia: &#8220;@T2G_CincoKilby: Y'all think celebrity pussy different from the locals? &#128514;&#8221; yeah Meghan goods is"""
391,2,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo"
392,1,"""@sniffsockslad: Need these sox http://t.co/xydb1RchXh"" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks"
393,1,"""@snoleezey801: I don't ever expose females like that.. That's childish.."" bitch nigga shiiii....."
394,1,"""@socass_: ""@00sexilexi00: @socass_ yasss""
395,2,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT"
396,1,"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout."
397,2,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof"
398,1,"""@splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties""&#128557;&#128514;"
399,1,"""@stephencdo: @currieburry if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha"
400,1,"""@talibanshawtyy: Niggas whole hoes out here cuz"" Couldn't had said it better..&#128588;"
401,1,"""@theaveragerocks: Hardcore way to eat Mac and cheese1. Boil water 2. Snort cheese powder3. Drink boiling water4. Fuck bitches"""
402,1,"""@thebravebird: #YoureNotMyType if my fade is perpetually fresher than yours."" That's a real ass bitch rite there"
403,1,"""@thejudyann: annoying bitch that I love http://t.co/8oxlQvQBrC"" JUDYANN'S SO PRETTY!!!!!"
404,1,"""@thotmouths: http://t.co/aQKGOrAUxx""
406,1,"""@trutherbot: does he look like a bitch?"" @el_capacitor"
407,1,"""@whoiscoreyking: Chase money &#128176; not &#128581; hoes &#128111; &#128175;&#128175;""&#58399;&#58399;&#58399;&#58399;"
408,1,"""@whooligan__: can't stand a ""I don't know what I want"" ass nigga &#128564;"" bitch*"
409,1,"""@wiganzlad: ""@MarkyCrumb: ""@gmail_shorts: I'm on my way http://t.co/MqcZuXlbtT"" love a #chav""hot"" sexy scally fucker."
410,1,"""@witmyRUDEass: These newly gay bitches don't kno how shit works"""
411,1,"""@witmyRUDEass: When a bitch don't want a real job they just become strippers lol"" lol."
412,1,"""@wodaeeex3: Awww Meat Meat In His Feelins""i ainn n my feelings bitch"
413,1,"""@wodaeeex3: I Want Snake Bites , MY Industrial Piercin &amp; A Tattoo""Dem hoe accessories dea &#128064;&#128064;&#128056;&#9749;"
414,2,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395"
415,1,"""@worldwarzee_: these hoes ain't loyal."""
416,1,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bitch you just ate tacos you fat fuck"
417,1,"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch."
418,1,"""A NO BRAINER""
419,1,"""A pussy a day keeps the devil away"" -@DoperThanYola"
420,1,"""Ain't that about a bitch""... What does that mean?"
421,1,"""All these bitches want a baby, I don't want no children."""
422,1,"""And bitch you must be lost"" &#128514;&#128514;"
423,1,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do"
424,2,"""Bae"" sounds like such a ghetto word. Use something else"
425,1,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself."
426,1,"""Bleed out hoe!!!"" -Alexa"
427,1,"""Boolin' in the bando wit a few bitches"""
428,2,"""Brownies for my brownie"" I love this movie. &#128517;"
429,1,"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday"
430,1,"""By the way we do punch bitches."""
431,1,"""Caesar is home"" RT @Naewoodster: &#8220;@MjaySkillz: https://t.co/mw5KAojKXB""theres so much this bitch looks like. Lets start with ape shit&#8221;&#128557;&#128557;"""
432,2,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS"
433,1,"""Dad say hi to my snapchat"" 
434,1,"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes"""
435,1,"""Don't know no ugly bitches! Don't know no broke niggas!""--@Kevin_Gates"
436,1,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd"
437,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch."""
438,1,"""Don't you ever give my pussy away. You keep it tight, alright?"""
439,1,"""Dropped a stack cause bitch I'm ON"".
440,1,"""Dumb bitches do dumb things"""
441,1,"""Eat the pussy like a real nigga hungry"""
442,1,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV"
443,1,"""Everything look better with a bitch next to it"""
444,1,"""Facto @ShaunaSayomi: Who cares if you a hoe when your ass looks like this? http://t.co/CJdT987aqf"""
445,1,"""For every bad bitch there is a nigga tired of fucking her"""
446,1,"""Foreign chick, no lie.. Man that bitch Beautiful"""
447,1,"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" http://t.co/Cgx3HNAK9A"
448,1,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku"""
449,2,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T"
450,1,"""Get me that shit bitch you is fine bear"""
451,1,"""Get your ass back to Detroit ya fuckin' wigger!"""
452,1,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe"""
453,1,"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please"
454,1,"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?"""
455,1,"""He a bitch for hitting that hoe"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
456,1,"""He married to a white woman... lucky sum-bitch"" - Uncle Ruckus"
457,1,"""He wanna be my nigga, but I'm just trinna be his savings account &#128553;"" &#128514;&#128557;&#128514;&#128557; omg imma funny ass bitch man, but that's Real Shit &#128175;"
458,1,"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone"
459,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays"
460,1,"""Hey pussy you still there?"""
461,2,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx"
462,1,"""How hotter than is it?"" ""A bitch."""
463,1,"""How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em"""
464,1,"""How you doing, crazy bitch?"" is hilarious!"
465,1,"""I KNOW my shoes dirty as fuck, whatever, bitch. You don't have to call!""
466,2,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!"
467,1,"""I call him my bitch"" @MaKennaM_"
468,1,"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa"
469,1,"""I don't chase after dudes... I chase after bitches."" - Edgar Bautista"
470,1,"""I don't love these hoes, baby It's me and you forever"""
471,1,"""I dont even need a picture of tamar, that bitch is beat in every picture""&#128514;&#128557;&#128514;&#128514;&#128514;"
472,1,"""I dont have hoes"" &#128564;"
473,2,"""I found a new way to chug you have to open your mouth alot"" #shitallysays"
474,1,"""I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her"""
475,1,"""I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi"""
476,1,"""I got a sister, she told me stop calling women bitches.."""
477,1,"""I guess this is the night bitches die...!!!!"" Stewie is that nigga...!"
478,1,"""I had a bitch that had a bitch, had the bitch eating halibut.."" - @iamyoungroc #FreshRhymes #JerkSquad #SlowStir"
479,1,"""I have this lady-love
480,1,"""I heard you was looking for Candy Man, bitch"""
481,1,"""I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually."" -Katt Williams @LetMicahDown"
482,1,"""I just got a number 3 I'm a bitch boy"""
483,1,"""I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?""&#128514;"
484,1,"""I only be with older men cause they're more mature""
485,1,"""I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand."""
486,1,"""I said i don't like it, it tastes like wolf pussy"" 
487,1,"""I taught myself how to eat pussy, and cut my own hair""
488,1,"""I used to dress up like a cop too.""
489,1,"""I went to jail for a flock, &amp; came home wit a strike.. You went to jail as a bitch, came home as a dike""- @YG"
490,1,"""I will fuck u where u stand"". ""U dizzy bitch"". Two unique &amp; separate phrases I overheard a relative saying when I was younger."
491,1,"""I woke up like thi-"" bitch go back to bed"
492,1,"""I would rather you call me bitch than sir"" -my manager"
493,1,"""I'll beat on that pussy so hard"""
494,2,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd"
495,1,"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour"
496,1,"""I'm comparing KFC to the pussy"" @MaxOn_MaxOff5"
497,1,"""I'm downloading you a new personality and ordering you a new face! You bitch.. I love you.. Goddamn it!"" -Axl Rose yelling at his sex robot"
498,1,"""I'm feelin like Malcolm in the middle, these bitches surround me they can't miss em"""
499,1,"""I'm gonna piss on your dimple @SoNi99a_: Stop wasting prayers on trash teams lol"""
500,1,"""I'm probably your main bitch chocolate dipped cinnamon apple"""
501,1,"""I'm sick of his shit man @JonnieSantana: Sit his bitch ass, I'm fed up bro RT ""@80sbaby4life: Geno threw yet another pick smh"""""
502,1,"""I'm sorry I fucked yo bitch... But she really dig a nigga"" @KingL"
503,1,"""IBS"" irritable bitch syndrome."
504,1,"""If you love her then hide yo bitch so you'll keep shorty.""
505,1,"""If you talk back to me you ain't getting no pussy.""
506,1,"""If you're a bad bitch put your hands up high"" 
507,1,"""Imma tie that bitch up in the basement and donkey-fuck her ass for two weeks straight"" hahahahahahahahaha #50centmovie #beforeiselfdestruct"
508,1,"""In My Mind""
509,2,"""Is that an albino Mexican?""
510,1,"""It takes a true directioner to accept Larry"" You know what bitch its fans like you that make the boys cry. #ThankYouPaulForConfirmingLarry"
511,1,"""It's allegations, were u in the bedroom? Did u see it?"" Words of a naive &amp; blind bitch. We know ur husband cheated on u. Ramona is dumb!!!"
512,1,"""It's never too late to tag a bitch.""- @CyFyre"
513,1,"""It's the dykes"" -hunter dyke with a dyke http://t.co/LGtw3AWMeh"
514,1,"""Julia Roberts, you're a ho"" @LaurenGardner8 #NottingHill"
515,2,"""Just follow the yellow brick twitter."""
516,1,"""LMFAOOOOOOOOOOOOOOOOOO @bb_brooks: If your pussy is good but my mama don&#8217;t like you? Guess who gotta go&#8230;&#8230;&#8230;..my mama."""
517,2,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod"
518,1,"""Let's do nips ahoy and spank me maybe"""
519,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW."
520,1,"""Like... correct me if I'm wrong but... Doesn't pimpin involve 'smackin bitches for money'?"""
521,1,"""Lmao @BlackBeauty515: &#128514;&#128514; RT @80sbaby4life: Pound cake look like pussy &#128514; http://t.co/UFYwCC9xCI"""
522,1,"""Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded"""
523,2,"""Mam, Ren&#233;e doet in haar rol net of ze ongesteld is Wat is ongesteld?"" Van dat soort vragen waar je denkt: hoe leg ik die weer uit."
524,1,"""Maybe she wants to be more than your friend or maybe she's a stupid bitch. You never know until you make her cum."" &#128514;&#128514;&#128514;"
525,2,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids."""
526,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;"
527,1,"""My momma told me to tell you to mind yoooo damn motha fuckin business you 2+2 not knowin what it is bitch!!!!!!"""
528,1,"""My nips are freeeeezing...and that's not okay because they're slicing through my bra....""
529,1,"""My twitter was hacked"" = I'm too pussy to admit that I said it and now I want to act like I never said it."
530,1,"""Nah girl I ain't gon be able to make it, it's been tight since Russ loss his job"" you in the back like ""damn bitch really"""
531,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T"
532,1,"""New Flame"" the song of the yr lol that bitch SUPER run like"
533,1,"""Niggas always yelling ""Fuck bitches, Get money"" meanwhile they're broke and still want the bitches&#8230;."""
534,1,"""Niggas be pressed for pussy, Eeeeeen nothin"""
535,1,"""No bitches "" - nan"
536,1,"""No boats and hoes please thanks"" - Mom"
537,2,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;"
538,1,"""On top of that, she just a pregnant ass sorry hoe. Aint never got no money. Even her water broke."" - @TallTrappin88 #RIPTALLT"
539,2,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game."
540,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488"
541,1,"""Pistol whip my Dickau, shoot yo bitch club up.""
542,1,"""RT it for me. Please and thanks @BmorePocahontas: Did a pierced pussy just come across my timeline &#128528;"""
543,1,"""Remy Machiavelli send shots to ya belly"" &#128553; my bitch &#9994;"
544,1,"""Roberto you are one nasty hoe"""
545,1,"""SORRY JB FAN&#65292;REALLY JUSTIN COME BACK"". That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!"
546,1,"""Searching"" the incredible story of 1 white man's quest to find the ingredients necessary to make Caribbean Jerked Chicken in redneck land"
547,1,"""Selling my soul for material wishes: fast cars and bitches"" #Tupac #smile #remix"
548,1,"""Shake that Bear ... aka two rednecks having sex on a dead bear"""
549,1,"""Shall I compare thee to a summer&#8217;s day? No, a summer&#8217;s day is not a bitch."""
550,1,"""She gotta shape up her pussy lips tho @PostPrettyPussy: Whole wheat organic pussy http://t.co/kq0R0A7z2g"""
551,1,"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam"
552,1,"""She was a bitch anyway"""
